timestamp,controller_side_or_job_label,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z
1,4279762506485,Right,-1,892208,1,095253,6,171782,329,6577,221,736,255,5357
1,44173884391785,Right,-1,890884,1,094517,6,169395,329,906,221,7185,255,6071
1,45578980445862,Right,-1,890063,1,094109,6,16812,330,0648,221,6695,255,684
1,46973824501038,Right,-1,888,1,092914,6,164637,330,3808,221,3537,256,0289
1,48371183872223,Right,-1,88671,1,091618,6,161582,330,7418,221,012,256,4169
1,49773764610291,Right,-1,885734,1,090545,6,159216,331,1313,220,6832,256,7827
1,51171326637268,Right,-1,884143,1,08867,6,155476,331,7377,220,1357,257,4897
1,52584910392761,Right,-1,883255,1,088132,6,154112,331,9586,219,948,257,7762
1,53954935073853,Right,-1,881832,1,086018,6,150248,332,5688,219,5194,258,6261
1,55330228805542,Right,-1,881839,1,084874,6,148307,332,8868,219,5669,259,0053
1,56724107265472,Right,-1,882027,1,08426,6,147175,333,0956,219,7267,259,0398
1,58104085922241,Right,-1,882038,1,083229,6,145056,333,4816,219,8936,259,0897
1,59503519535065,Right,-1,88242,1,082912,6,144504,333,6651,220,1162,258,9306
1,60893595218658,Right,-1,882579,1,081797,6,142307,334,1721,220,3774,258,8716
1,62288522720337,Right,-1,882272,1,080878,6,140851,334,5335,220,5201,258,8492
1,63682246208191,Right,-1,882071,1,080404,6,140083,334,7328,220,6246,258,7921
1,65073764324188,Right,-1,881482,1,079603,6,138569,335,0719,220,7283,258,7025
1,66474401950836,Right,-1,881093,1,079393,6,138196,335,155,220,7757,258,6389
1,67881405353546,Right,-1,879995,1,078948,6,136799,335,3986,220,9473,258,4895
1,69340133666992,Right,-1,878553,1,078645,6,135703,335,5373,220,9389,258,4706
1,70705795288086,Right,-1,877474,1,078507,6,134923,335,6107,220,897,258,5245
1,72128117084503,Right,-1,875683,1,078572,6,13399,335,6092,220,7547,258,6541
1,73404812812805,Right,-1,874645,1,078587,6,133564,335,6166,220,5886,258,7537
1,74795317649841,Right,-1,87137,1,078395,6,131743,335,7138,220,116,259,0585
1,76186656951904,Right,-1,867421,1,078337,6,129774,335,7219,219,4584,259,4276
1,77566599845886,Right,-1,865853,1,07845,6,128964,335,6584,219,157,259,5875
1,789715051651,Right,-1,861665,1,078462,6,126997,335,539,218,3306,260,0467
1,80350196361542,Right,-1,858968,1,078411,6,125425,335,5414,217,6669,260,4019
1,81755530834198,Right,-1,857127,1,078212,6,124384,335,5833,217,1716,260,6303
1,83157539367676,Right,-1,854494,1,07784,6,123035,335,6583,216,5332,260,8204
1,84539318084717,Right,-1,8536,1,077646,6,122515,335,7042,216,3488,260,8828
1,85916030406952,Right,-1,851311,1,077032,6,121924,335,6764,216,0126,261,0603
1,87327146530151,Right,-1,849707,1,076921,6,121594,335,5071,215,8334,261,2903
1,88713204860687,Right,-1,848678,1,077067,6,121706,335,1754,215,8247,261,3866
1,90094029903412,Right,-1,847101,1,077494,6,122577,334,3949,215,8866,261,4362
1,9150972366333,Right,-1,846958,1,077426,6,122952,334,2105,215,9143,261,2616
1,92916023731232,Right,-1,846584,1,076567,6,123442,334,2044,215,9187,260,8203
1,94323647022247,Right,-1,847253,1,07586,6,123392,334,5052,215,9977,260,5662
1,95680224895477,Right,-1,847636,1,075202,6,123284,334,7673,216,121,260,4243
1,97065734863281,Right,-1,847922,1,075079,6,123049,334,91,216,2546,260,2658
1,98452770709991,Right,-1,847574,1,074835,6,123079,334,9531,216,293,260,1709
1,99877095222473,Right,-1,846869,1,074766,6,122722,334,9962,216,2551,259,9966
2,01230978965759,Right,-1,845802,1,07482,6,122258,334,9738,216,0069,259,9621
2,02639722824097,Right,-1,84389,1,074925,6,121562,334,8918,215,4415,260,0062
